let x = 5, what is x + 3	x is 5, 5 + 3 = 8, = 8
let x = 7, what is x + 2	x is 7, 7 + 2 = 9, = 9
let a = 4, what is a + a	a is 4, 4 + 4 = 8, = 8
let n = 6, what is n x 2	n is 6, 6 x 2 = 12, = 12
let y = 10, what is y - 4	y is 10, 10 - 4 = 6, = 6
let x = 3, what is x x x	x is 3, 3 x 3 = 9, = 9
let a = 5 and b = 2, what is a + b	a is 5, b is 2, 5 + 2 = 7, = 7
let a = 8 and b = 3, what is a - b	a is 8, b is 3, 8 - 3 = 5, = 5
let x = 9, what is x + 1	x is 9, 9 + 1 = 10, = 10
let k = 12, what is k / 2	k is 12, 12 / 2 = 6, = 6
let x = 2, double it	x is 2, 2 + 2 = 4, = 4
let a = 6 and b = 4, what is a x b	a is 6, b is 4, 6 x 4 = 24, = 24
let n = 15, what is n - 5	n is 15, 15 - 5 = 10, = 10
let x = 1, what is x + 9	x is 1, 1 + 9 = 10, = 10
